,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.02,0.0,0.0,0.0,0.0,0.0
NE,0.79,0.33,0.22,0.41,0.81,0.0
ENE,0.53,0.31,0.55,0.77,1.0,0.0
E,0.67,0.33,0.41,0.5,1.15,0.0
ESE,0.96,0.79,1.27,1.89,1.98,0.0
SE,0.6,0.55,0.72,1.67,1.79,0.0
SSE,0.74,0.55,0.77,1.08,0.96,0.0
S,0.6,0.57,1.34,1.53,0.55,0.0
SSW,0.69,0.86,1.67,2.2,1.36,0.0
SW,0.88,0.93,1.08,1.53,1.17,0.0
WSW,0.72,1.29,1.75,2.82,2.37,0.0
W,0.26,0.91,1.91,2.44,2.53,0.0
WNW,0.07,0.43,1.08,2.2,1.22,0.0
NW,0.0,0.0,0.1,0.29,0.26,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
