,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.0,0.0
NE,0.07,0.21,0.39,0.55,0.32,0.0
ENE,0.09,0.23,1.13,1.64,0.58,0.0
E,0.14,0.58,0.97,1.27,0.83,0.0
ESE,0.14,0.79,2.33,2.61,3.26,0.0
SE,0.16,0.67,0.97,1.41,1.18,0.0
SSE,0.18,0.51,0.74,0.9,0.74,0.0
S,0.21,0.67,0.97,1.32,0.67,0.0
SSW,0.18,0.6,1.62,2.29,2.84,0.0
SW,0.35,0.9,0.72,1.5,1.34,0.0
WSW,0.49,0.99,1.04,1.41,2.08,0.0
W,0.28,1.23,1.2,1.39,1.99,0.0
WNW,0.0,0.62,0.97,1.6,1.2,0.0
NW,0.0,0.0,0.32,0.05,0.02,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
