,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.2,0.36,0.94,0.47,0.0
ENE,0.02,0.22,1.1,1.39,0.87,0.0
E,0.09,0.54,1.03,1.54,0.9,0.0
ESE,0.18,0.83,1.7,2.19,2.13,0.0
SE,0.16,0.6,1.16,1.95,1.21,0.0
SSE,0.07,0.54,1.21,0.98,0.67,0.0
S,0.11,0.54,1.25,1.5,0.96,0.0
SSW,0.04,0.43,1.41,3.45,2.57,0.0
SW,0.07,0.58,1.25,1.61,1.95,0.0
WSW,0.36,0.76,1.32,1.83,2.3,0.0
W,0.07,0.65,1.23,2.06,2.22,0.0
WNW,0.04,0.4,1.28,1.81,1.41,0.0
NW,0.0,0.04,0.07,0.18,0.22,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
