,0,1,2,3,4
0,0.0,32.0,0.0,0.0,0.0
1,0.0,31.0,0.0,0.0,0.0
2,0.0,30.0,0.0,0.0,0.0
3,0.0,29.0,0.0,0.0,0.0
4,0.0,28.0,0.0,0.0,0.0
5,0.0,27.0,0.0,0.0,0.0
6,0.0,26.0,0.0,0.0,0.0
7,0.0,25.0,0.0,0.0,0.0
8,0.0,24.0,0.0,0.0,0.0
9,0.0,23.0,0.0,0.0,0.0
10,0.0,22.0,0.0,0.0,0.0
11,0.0,21.0,0.0,0.0,0.0
12,0.0,20.0,0.0,0.0,0.0
13,0.0,19.0,0.0,0.0,0.0
14,0.0,18.0,0.0,0.0,0.0
15,0.0,17.0,0.0,0.0,0.0
16,0.0,16.0,0.0,0.0,0.0
17,0.0,15.0,0.0,0.0,0.0
18,0.0,14.0,0.0,0.0,0.0
19,0.0,13.0,0.0,0.0,0.0
20,0.0,12.0,0.0,0.0,0.0
21,0.0,11.0,0.0,0.0,0.0
22,0.0,10.0,0.0,0.0,0.0
23,0.0,9.0,0.0,0.0,0.0
24,0.0,8.0,0.0,0.0,0.0
25,0.0,7.0,0.0,0.0,0.0
26,0.0,6.0,0.0,0.0,0.0
27,0.0,5.0,0.0,0.0,0.0
28,0.0,4.0,0.0,0.0,0.0
29,0.0,3.0,0.0,0.0,0.0
30,0.0,2.0,0.0,0.0,0.0
31,0.0,1.0,0.0,0.0,0.0
32,1.0,32.0,0.0,0.0,0.0
33,1.0,31.0,0.0,0.0,0.0
34,1.0,30.0,0.0,0.0,0.0
35,1.0,29.0,0.0,0.0,0.0
36,1.0,28.0,0.0,0.0,0.0
37,1.0,27.0,0.0,0.0,0.0
38,1.0,26.0,0.0,0.0,0.0
39,1.0,25.0,0.0,0.0,0.0
40,1.0,24.0,0.0,0.0,0.0
41,1.0,23.0,0.0,0.0,0.0
42,1.0,22.0,0.0,0.0,0.0
43,1.0,21.0,0.0,0.0,0.0
44,1.0,20.0,0.0,0.0,0.0
45,1.0,19.0,0.0,0.0,0.0
46,1.0,18.0,0.0,0.0,0.0
47,1.0,17.0,0.0,0.0,0.0
48,1.0,16.0,0.0,0.0,0.0
49,1.0,15.0,0.0,0.0,0.0
50,1.0,14.0,0.0,0.0,0.0
51,1.0,13.0,0.0,0.0,0.0
52,1.0,12.0,0.0,0.0,0.0
53,1.0,11.0,0.0,0.0,0.0
54,1.0,10.0,0.0,0.0,0.0
55,1.0,9.0,0.0,0.0,0.0
56,1.0,8.0,0.0,0.0,0.0
57,1.0,7.0,0.0,0.0,0.0
58,1.0,6.0,0.0,0.0,0.0
59,1.0,5.0,0.0,0.0,0.0
60,1.0,4.0,0.0,0.0,0.0
61,1.0,3.0,0.0,0.0,0.0
62,1.0,2.0,0.0,0.0,0.0
63,1.0,1.0,0.0,0.0,0.0
64,2.0,32.0,0.0,0.0,0.0
65,2.0,31.0,0.0,0.0,0.0
66,2.0,30.0,0.0,0.0,0.0
67,2.0,29.0,0.0,0.0,0.0
68,2.0,28.0,0.0,0.0,0.0
69,2.0,27.0,0.0,0.0,0.0
