,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.09,0.0,0.0,0.0,0.0,0
NNE,0.25,0.0,0.0,0.0,0.0,0
NE,1.48,0.32,0.81,0.46,0.65,0
ENE,0.21,0.32,0.65,0.76,0.62,0
E,0.25,0.44,0.69,0.92,0.74,0
ESE,0.23,0.3,0.65,1.25,1.6,0
SE,0.12,0.25,0.28,0.95,1.39,0
SSE,0.05,0.16,0.51,0.62,0.44,0
S,0.07,0.25,0.83,0.92,0.55,0
SSW,0.12,0.3,0.51,2.13,1.55,0
SW,0.05,0.16,0.46,0.62,0.65,0
WSW,0.18,0.3,0.49,1.39,1.13,0
W,0.23,0.49,1.04,2.08,2.82,0
WNW,0.55,0.32,0.72,1.09,1.69,0
NW,3.21,0.0,0.09,0.28,0.12,0
NNW,0.25,0.0,0.0,0.0,0.0,0
